epoch,train_loss,w_dti,w_adr,test_DTI_AUROC,test_DTI_AUPRC,test_DTI_F1,val_DTI_AUROC,val_DTI_AUPRC,val_DTI_F1,test_ADR_Weighted_AUROC,test_ADR_Weighted_AUPRC,test_ADR_F1,val_ADR_Weighted_AUROC,val_ADR_Weighted_AUPRC,val_ADR_F1
1,0.46637891681020516,1.435606837272644,1.554833173751831,0.9004117905525574,0.82031583896733,0.744927536231884,0.8688104592873594,0.7021467873618824,0.6698224852071006,0.6494173770756666,0.3199380963736456,0.2262464204626154,0.6514322284421481,0.32607579358718397,0.2323846087746927
2,-0.06650972453117449,1.669376015663147,2.386903762817383,0.8996599529060324,0.8227629861255994,0.7274539113104136,0.881074380165289,0.7085818176791311,0.6424090338770388,0.6529551686926606,0.3182650267506234,0.2049416240206666,0.645185053118411,0.32099873337660745,0.2117551441459617
3,-0.48069458013052513,1.7585740089416504,3.61409068107605,0.9057674015106767,0.8181734913547855,0.7707893626002533,0.8844018425687575,0.7174681814616034,0.708171206225681,0.6791807457758154,0.35407559494830065,0.20155671723207683,0.680810438777661,0.358976736901482,0.20928147557614027
4,-0.8156180678949541,1.7952523231506348,5.3547773361206055,0.9068606543260944,0.8242231235909047,0.7695083446098331,0.8913177979496905,0.7528733377615222,0.7169811320754716,0.6996700123008358,0.3808247947726883,0.22812848676538594,0.698136662484372,0.38860710143115407,0.23652631371406002
5,-1.127001643248734,1.8563666343688965,7.696393013000488,0.9071930160579806,0.8171817077229946,0.7687977482911138,0.888824910807027,0.7538807264059666,0.6957708049113234,0.7194280156869118,0.4065594775242237,0.22441887812979242,0.7189839965850836,0.41418607119958634,0.2333254464496841
6,-1.3566051631962248,1.8708584308624268,10.594130516052246,0.9093594029399126,0.8336939610628217,0.7667858561779897,0.8903247075825317,0.7580243246768753,0.7013345605154164,0.7488712515416985,0.43589128327430676,0.24096619189790594,0.7486387072689756,0.4460882223895211,0.2515222849142177
7,-1.5296922966260844,1.910335898399353,13.833320617675781,0.9022232827038311,0.8130743308394184,0.7636530518586507,0.8849293230366255,0.7447512601414683,0.6973340303188709,0.7624588699230134,0.4548630608194958,0.25176941114191653,0.7564048351371787,0.4589115825871989,0.26102682143949485
8,-1.6842719095171448,1.9430838823318481,17.33186149597168,0.9132527832277234,0.8406927508936304,0.7695220066256507,0.8918981167863433,0.7565879920981552,0.7033849684452094,0.82267500703008,0.5708959983756963,0.3816346573902507,0.8260781931181875,0.5873079534281345,0.4075608836523964
9,-1.818305476379829,1.9669843912124634,21.078338623046875,0.9147093806483387,0.8309987691807709,0.7826471890216911,0.8976304023845008,0.7697418560050386,0.7295597484276729,0.8675483700405908,0.6580100793706595,0.5300070780514334,0.8731913265792113,0.6783881542760147,0.5559592181964764
10,-1.9447869396426956,1.9529365301132202,24.652801513671875,0.9132950326004206,0.837686494830604,0.7784431137724551,0.8959693808427043,0.7739678063793616,0.7244488977955912,0.8963652256963153,0.7088529900636122,0.5716451108367473,0.9017359670298066,0.7333315985962141,0.5968346528534996
11,-2.05101595924221,2.0003538131713867,27.87923812866211,0.9140631664335573,0.8294194338816316,0.7829181494661922,0.8996691956826086,0.7617714018753906,0.7274622199062012,0.916031667989826,0.766603844589224,0.6515132254157364,0.9228204887294037,0.79053072075869,0.6830541888243229
12,-2.1436910406603626,2.024364709854126,30.886497497558594,0.9103597071353962,0.8358385396750362,0.780093577201191,0.8941367475048547,0.7709800559166178,0.7186104218362283,0.9269703733811652,0.7889028735034361,0.6713425689958001,0.9340045728209562,0.8125583980757447,0.6999176346859051
13,-2.192509454855343,2.0049054622650146,32.81515121459961,0.914932698761168,0.8387983642024366,0.7824213700990952,0.8970631802375469,0.7645868215435583,0.7238095238095238,0.9359346837763076,0.8063323949735219,0.6952928205060405,0.9420021133107239,0.8290314327040614,0.7219895171472968
14,-2.2326848083313613,2.033019542694092,34.226444244384766,0.910867504357721,0.8376621576839834,0.763023893458676,0.8913485074289844,0.7601803555208687,0.6965579710144928,0.9429622879209173,0.8233914386887248,0.7158873068470748,0.9490094710754597,0.8457107970729514,0.7439462327613894
15,-2.270660654558951,2.0497026443481445,35.38706588745117,0.9120500844182704,0.8319398847625628,0.7815384615384615,0.8962457661563474,0.7675620259128971,0.7149557060969255,0.9441840221502965,0.8278269323108705,0.715286490434696,0.9503304878697545,0.8479383881031954,0.7393560285975097
16,-2.3106859563966546,2.039492130279541,36.478485107421875,0.9155406873530325,0.838962800806304,0.7783433595557612,0.8987820078580138,0.7680987730690629,0.7175572519083969,0.9472712548808103,0.834888336688043,0.7371546743867307,0.953353177985047,0.855848070731821,0.7641484895005014
17,-2.32818024440887,2.050874710083008,37.53227233886719,0.915549137227572,0.8441555433876224,0.7889987107864203,0.9000419997290341,0.7831945042494678,0.7239141288067898,0.9507312667814408,0.8405064688830512,0.7304380734923567,0.9561611832888233,0.8610990314948683,0.7552848914401898
18,-2.3637701995280445,2.0760035514831543,38.30092239379883,0.9102583086409222,0.8359779110317993,0.7755656108597285,0.8903603847717111,0.7632622627326913,0.7140566541956174,0.9547031936017035,0.8483713771576606,0.7457376350590136,0.9607715709882254,0.8698998344755956,0.7689222028183005
19,-2.3701584146343224,2.110112190246582,38.35027313232422,0.9091185815155373,0.831027516433738,0.7668393782383419,0.8932308178656913,0.7566604983330394,0.6927129060579456,0.9522270009339312,0.8459046441631457,0.7373191538637941,0.9578884397032646,0.865584104292362,0.7611240694943472
20,-2.3926314957321098,2.0876083374023438,39.18289566040039,0.913673265079807,0.8399905040908762,0.7956427015250545,0.8961784762678949,0.7645605114788578,0.7200811359026369,0.9546952643981044,0.8542256862012036,0.7640825211495095,0.9607642994579215,0.8734952965989595,0.7885590044583775
21,-2.4146363452789723,2.073824882507324,40.13913345336914,0.9149990906325498,0.8453800987072471,0.7829632985953784,0.9005188998780653,0.7786279767820276,0.7258150721539284,0.9598328056370193,0.862770827518773,0.7685544938643878,0.965354838076638,0.8833808817928406,0.7948630098640733
22,-2.412585634305428,2.083413600921631,40.547847747802734,0.9122480529074811,0.8337628426791714,0.7835616438356164,0.8976145960348644,0.7680444269236805,0.7288503253796096,0.9586318446070763,0.8600851154086595,0.7625192021742372,0.9641319626079702,0.879541224419707,0.7864627215496696
23,-2.4277872406540264,2.063936710357666,40.75404357910156,0.909898183035549,0.8437740308550623,0.7801963294921042,0.8923924039199748,0.7684022061576696,0.7074829931972789,0.961112480970648,0.8652437798995549,0.7757686282265143,0.9669678670837702,0.885862389748061,0.8016184342086589
24,-2.452133421202727,2.087305784225464,41.905250549316406,0.9086544419783329,0.8287718145171218,0.7718210013291981,0.8814839904258683,0.7341511933659531,0.6902119071644803,0.9636714057683142,0.8728910201938425,0.7862467992822814,0.9690964956269176,0.8911635464131026,0.8100040649938917
25,-2.480589933981928,2.1339502334594727,41.81736373901367,0.9145013527846763,0.8421240355920623,0.7920277296360485,0.8964765388610395,0.775284405665892,0.7256004087889627,0.9649762707165656,0.8751645581879351,0.7889749710576194,0.9707771751583779,0.8934123768088573,0.8125089001581015
26,-2.4769560345756165,2.1372642517089844,41.896400451660156,0.9080585246358104,0.8359213943841136,0.7755482967802146,0.8877672402113534,0.7592841752566256,0.7106816961889426,0.9639417450348118,0.8735064652645695,0.7949224039303183,0.9690291703434716,0.89158456550727,0.8147020544850373
27,-2.488327179791444,2.13991117477417,43.28091812133789,0.9155708654763879,0.8418822610703987,0.7854903716972682,0.8993216817956012,0.7712233873186672,0.7238493723849372,0.9649012508253071,0.8756300441193966,0.7953936590578852,0.970766503798977,0.8935389458835211,0.8175442704033766
28,-2.5061092379424457,2.1372547149658203,42.97776412963867,0.9080935312589025,0.8440334633495707,0.7874083656748598,0.891533215914736,0.7750172247242445,0.7115384615384616,0.9653624122383125,0.8787260309649548,0.7924624263292044,0.9711312254398085,0.8967503590950375,0.8166510890173856
29,-2.507366663231122,2.113595485687256,43.26020431518555,0.9128648937488634,0.8435608386563345,0.7855035819637589,0.8966752472564694,0.7868858872965302,0.7142173288654858,0.9643722582074999,0.8755507940718776,0.790264375425199,0.9699769090179552,0.8917701164427151,0.8124813751955684
30,-2.5273029339883757,2.1164848804473877,44.443702697753906,0.9069759347573114,0.8340826162979699,0.761296211775445,0.892290565867317,0.7629542725576656,0.7060063224446786,0.9673432204494358,0.880156354281394,0.7930448309275012,0.9721835644483783,0.8982146544448942,0.8154733178757625
31,-2.525136143580113,2.128448486328125,43.9031982421875,0.9161100479470023,0.8511498444492236,0.7814036656236031,0.9020471480829155,0.7884092625606118,0.7252861602497399,0.9699969916455196,0.8865274143029662,0.8058327384234079,0.9749431282217108,0.9042870549680019,0.8286891999993004
32,-2.5203446994338328,2.0984842777252197,44.38922882080078,0.9130041154912758,0.837580755673949,0.7782276203328835,0.8995930993993587,0.7857595495446074,0.7247461250668092,0.96917919698381,0.88411290558731,0.8008833908728796,0.9737582866868923,0.9008774927863078,0.8236281206788539
33,-2.5358568427231427,2.1360533237457275,44.74679946899414,0.9092656495700222,0.8419507196944072,0.7651804670912952,0.8910111547667434,0.7727125762754877,0.7023809523809523,0.9708242461273827,0.8889126143935115,0.8145585248735774,0.9760015012564592,0.905743951199624,0.8361236534599639
34,-2.564920120738905,2.136061906814575,46.255123138427734,0.8998557083328639,0.8272228727813555,0.7411467116357504,0.8834051393216819,0.7606595259419515,0.6764275256222547,0.9706063558425906,0.8883489902270607,0.8169956039953739,0.9761801399935025,0.9068553977758408,0.8428865305582337
